servicio;servicio_padre;servicio_abrev_viz;tipo;valor
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Total Personas;39,7
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 16 a 24 años;70,5
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 25 a 34 años;57,1
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 35 a 44 años;40,2
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 45 a 54 años;31,4
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 55 a 64 años;21,3
Actividades de entretenimiento: Jugar o descargar juegos;Actividades de entretenimiento;Jugar o descargar juegos;Edad: De 65 a 74 años;20,3
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Total Personas;72
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 16 a 24 años;68
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 25 a 34 años;77,8
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 35 a 44 años;82,5
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 45 a 54 años;73,1
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 55 a 64 años;62
Actividades relacionadas con la salud: Buscar información sobre temas de salud;Actividades relacionadas con la salud;Buscar inf. sobre salud;Edad: De 65 a 74 años;59,6
Actividades relacionadas con la salud: Concertar una cita con un médico a través de una página web o de una app de móvil;Actividades relacionadas con la salud;Concertar una cita con un médico;Total Personas;43,2
Actividades relacionadas con la salud: Concertar una cita con un médico a través de una página web o de una app de móvil;Actividades relacionadas con la salud;Concertar una cita con un médico;Edad: De 16 a 24 años;29,5
